Designator,MidX,MidY,Rotation,Layer
D1,74.335900,-31.592550,0.000000,top
D2,93.385900,-31.592550,0.000000,top
D3,112.435900,-31.592550,0.000000,top
D4,131.360900,-31.592550,0.000000,top
D5,83.798400,-31.592550,0.000000,top
D6,102.910900,-31.592550,0.000000,top
D7,121.835900,-31.592550,0.000000,top
D8,140.885900,-31.592550,0.000000,top
